Year,Month,Min,Avg,Max
1994,1,0.8,4.6,8.6
1994,2,1,4.7,8.5
1994,3,5,10.5,16.7
1994,4,7.4,11.8,16.4
1994,5,11.7,17.2,21.9
1994,6,15.8,21,26
1994,7,19.3,25.3,30.8
1994,8,19.9,25.3,30.8
1994,9,15.2,19.7,24.7
1994,10,9.2,13.4,18.2
1994,11,8.2,10.4,12.7
1994,12,2.6,5.1,7.6
1995,1,-1,3,7.2
1995,2,1.8,5.8,10.1
1995,3,2.6,7.5,12.3
1995,4,6.5,11.4,16.3
1995,5,11.7,16.6,21.5
1995,6,14.2,19.1,24
1995,7,18.9,24.8,30
1995,8,17.1,22.1,27.5
1995,9,12.6,17.8,23.2
1995,10,9.7,14.3,20.7
1995,11,3.8,7.7,11.9
1995,12,2.4,5.1,7.9
1996,1,2.9,5.3,7.7
1996,2,0.1,3.9,7.8
1996,3,2.1,6.4,10.7
1996,4,8,12.7,17.6
1996,5,12,17.5,22.7
1996,6,15.6,21.7,27.1
1996,7,15.6,21.8,27.1
1996,8,16.9,22.3,27.6
1996,9,12,16.6,21.6
1996,10,10.2,13.9,18.4
1996,11,7,10,13.3
1996,12,2.2,4.8,7.7
1997,1,1.8,4.5,7.8
1997,2,1.6,5.6,10.9
1997,3,3.4,9.7,16.5
1997,4,5,10.8,16.1
1997,5,12.1,17.7,22.9
1997,6,16,20.8,25.4
1997,7,16.6,22.5,28.1
1997,8,17.3,22.8,28.1
1997,9,13.9,19.7,25.9
1997,10,10.2,14.4,18.9
1997,11,6.2,9.2,12.6
1997,12,2.6,5.2,8.1
1998,1,2.1,4.6,7.3
1998,2,0.2,5.8,13.2
1998,3,2,8.1,13.7
1998,4,7.5,12.3,17.6
1998,5,11.7,17.4,22.5
1998,6,16.1,22.1,27.4
1998,7,18.2,24,29.3
1998,8,17.9,24.1,30
1998,9,13.7,18.7,23.9
1998,10,9.6,14,19.5
1998,11,4.1,7.5,11.3
1998,12,-0.6,2,5.6
1999,1,-0.3,2.6,6.7
1999,2,-2.3,3.3,9.1
1999,3,3.6,8.6,13.9
1999,4,7.7,12.9,18
1999,5,13.3,18.5,23.4
1999,6,15.3,21,26.2
1999,7,17.8,23.5,28.9
1999,8,17.9,23.3,29.1
1999,9,15.6,20.8,26.9
1999,10,11.1,14.6,19.1
1999,11,4.1,7.1,10.7
1999,12,0,3.2,6.9
2000,1,-3.4,0.4,5.5
2000,2,-0.4,4.4,10.3
2000,3,3.5,8.6,14.1
2000,4,9,14.1,19.3
2000,5,13.1,19.2,24.7
2000,6,15.7,22.4,28
2000,7,15.9,22.1,27.9
2000,8,17.8,23.9,30.4
2000,9,13.9,19.5,25.5
2000,10,11.8,15.3,19.5
2000,11,6.6,10.3,14.4
2000,12,3,5.9,9
2001,1,2.8,5.3,8.1
2001,2,0.6,5.5,11.1
2001,3,6.5,10.7,15.5
2001,4,5.8,11.7,17.2
2001,5,13.6,19.4,25.1
2001,6,14.3,20.7,26.6
2001,7,17.9,23.9,29.8
2001,8,18.4,24.9,31.7
2001,9,11.5,16.8,23.4
2001,10,11.6,15.3,20
2001,11,4,7.3,11.3
2001,12,-2.3,1.5,5.7
2002,1,-2.2,1.3,6.4
2002,2,2.9,6,9.4
2002,3,4.1,9.7,15.9
2002,4,7.7,12.4,16.8
2002,5,12.8,17.9,22.6
2002,6,16.7,22.8,27.9
2002,7,18.1,23.4,28.6
2002,8,17.9,22.7,28
2002,9,14.3,18.3,23
2002,10,10.6,14.8,19.7
2002,11,8.3,11.6,14.8
2002,12,4.4,6.4,8.5
2003,1,0.1,3.4,7
2003,2,-2.4,2.6,7.9
2003,3,3.1,8.5,14
2003,4,7.1,11.6,16.1
2003,5,13.4,19.2,24.6
2003,6,19.6,25.4,30.2
2003,7,19.3,25,29.7
2003,8,21.1,27,32.8
2003,9,13.6,18.5,23.7
2003,10,8.6,12.7,16.8
2003,11,7.6,10.2,13.3
2003,12,2.2,5.5,9.1
2004,1,-0.8,2.3,5.4
2004,2,0.2,3.5,7.8
2004,3,3.7,7.7,12.1
2004,4,8.5,12.7,17
2004,5,11,15.9,20.5
2004,6,15.8,21.5,26.7
2004,7,17.8,23.6,28.8
2004,8,18.4,23.9,29.1
2004,9,14.4,19.5,24.9
2004,10,12.8,16.3,20
2004,11,5.1,9.2,13.2
2004,12,3.5,6.4,10.1
2005,1,-0.6,2.1,5.5
2005,2,-1.7,2.9,7.8
2005,3,3.1,7.7,12.9
2005,4,7.6,12.3,17
2005,5,12.9,18.2,23
2005,6,16.7,22.5,27.7
2005,7,18.8,24.1,29
2005,8,16.9,21.7,26.7
2005,9,15.5,19.7,24.5
2005,10,10.9,13.9,17.7
2005,11,5.6,8.2,11.2
2005,12,0.4,3.3,6.6
2006,1,-0.4,2.5,5.9
2006,2,-0.1,4,8.8
2006,3,3,7.4,11.6
2006,4,8.5,13.1,18
2006,5,12,17.3,22
2006,6,16.2,22.1,27.5
2006,7,19.7,25.7,31.4
2006,8,16.6,21.7,26.8
2006,9,15.8,20.7,26.1
2006,10,11.6,16,21.6
2006,11,5.8,9.8,14.3
2006,12,2.8,6,10.2
2007,1,3.1,5.8,8.7
2007,2,3,7,11.3
2007,3,5.7,10.4,15.4
2007,4,9.5,15.7,21.8
2007,5,13.7,19.6,25.4
2007,6,17,22.7,27.8
2007,7,17.7,24.7,31
2007,8,17.4,22.9,28.7
2007,9,13.6,18.6,24.2
2007,10,10.5,14.4,19.2
2007,11,4.2,8.5,13.2
2007,12,0.7,4.1,8.4
2008,1,3.1,6,9.2
2008,2,1.3,5.6,10.5
2008,3,4.3,9.2,14.4
2008,4,8,14,19.6
2008,5,12.8,18.4,23.7
2008,6,17.1,22.6,28.1
2008,7,18.3,24.6,30.3
2008,8,18.5,24.3,30.1
2008,9,14.1,19,24.5
2008,10,10.8,15.7,21.6
2008,11,5.8,9.3,13.9
2008,12,2.3,5,8.2
2009,1,0.7,3.4,6.5
2009,2,1.1,5.2,10.3
2009,3,4.1,8.8,14
2009,4,9.6,14.2,19.3
2009,5,14,20,25.9
2009,6,16,21.6,26.6
2009,7,18.4,24.4,29.8
2009,8,19.7,25.3,31.1
2009,9,15.9,20.9,26.4
2009,10,10.2,14.6,19.6
2009,11,7.8,10.5,13.3
2009,12,1.2,4.4,7.9
2010,1,0.7,3,5.6
2010,2,2.1,5.6,9.3
2010,3,3.7,8,12.9
2010,4,8.3,13.5,18.7
2010,5,12.9,17.7,22.5
2010,6,16.9,21.9,26.9
2010,7,19.9,25.4,30.6
2010,8,17.8,23,28.7
2010,9,13.7,18.7,23.8
2010,10,9.6,13.4,17.5
2010,11,7.6,10.5,13.2
2010,12,-0.2,2.8,6
2011,1,1.4,3.7,6.4
2011,2,1.1,5.2,10.4
2011,3,4.2,9,14.1
2011,4,9.2,14.9,20.7
2011,5,13,18.9,24.6
2011,6,16.9,21.9,26.5
2011,7,17.3,22.9,28
2011,8,18.6,24.7,30.9
2011,9,17.5,22.4,28.2
2011,10,9.6,14.3,19.6
2011,11,5.1,8.2,12.6
2011,12,1,4.9,9.7
2012,1,-1.9,1.7,6.9
2012,2,-1.8,2.3,6.8
2012,3,3.8,10.4,17.1
2012,4,7.6,12.4,16.9
2012,5,11.6,17.4,23
2012,6,17.6,23.3,28.7
2012,7,19.5,25.5,31.4
2012,8,19.8,25.8,31.9
2012,9,15.5,20,25.3
2012,10,11.2,15.3,20.2
2012,11,7.4,11,15
2012,12,0.3,3,6.1
2013,1,1.5,4.1,7
2013,2,0.5,4.3,8.6
2013,3,4.6,8.1,12.1
2013,4,9.1,13.6,18.2
2013,5,12.2,16.8,21.4
2013,6,16.2,21.6,27
2013,7,19.3,25,30.5
2013,8,18.2,23.6,29.4
2013,9,14.9,20,25.5
2013,10,12.6,15.7,19.1
2013,11,7.7,11,14.8
2013,12,1.2,4.5,8.4
2014,1,4.4,7,10.1
2014,2,5,8.8,12.4
2014,3,5.8,10.7,15.8
2014,4,9.4,14.4,19.3
2014,5,11.8,17.3,22.3
2014,6,16.8,22.4,27.4
2014,7,17.5,22.3,27.3
2014,8,16.9,22.1,27.6
2014,9,14.2,18.8,24
2014,10,12.2,16.3,21.4
2014,11,9.1,12.1,15.5
2014,12,4.4,6.9,9.7
2015,1,0.1,4.3,9.3
2015,2,2.4,6.1,10.3
2015,3,5.2,9.5,13.9
2015,4,7.8,13.3,19.2
2015,5,13.8,18.7,23.7
2015,6,16.3,22.5,28.2
2015,7,21,26.8,32.1
2015,8,18.8,24.3,30.1
2015,9,15.3,20.1,25.2
2015,10,11.1,14.6,18.6
2015,11,5.5,9,12.9
2015,12,1.9,4.2,7
2016,1,0.2,4.2,8.7
2016,2,4.7,8.1,11.7
2016,3,5.5,9.9,14.2
2016,4,9.2,14,18.6
2016,5,12.1,16.9,21.7
2016,6,16.3,21.3,26.4
2016,7,19.5,24.9,30.1
2016,8,17.7,23.4,28.8
2016,9,16.1,21,26.8
2016,10,10.6,14.3,18.4
2016,11,7,10.3,13.8
2016,12,1,3.9,7.7
2017,1,-1.9,1.9,6.2
2017,2,3.1,6.5,10.5
2017,3,5.6,10.9,16.6
2017,4,8.8,13.9,18.9
2017,5,13.1,18.2,23.2
2017,6,17.9,23.7,29.2
2017,7,19,24.6,30.3
2017,8,19.8,25.6,31.6
2017,9,14.1,18.3,23.5
2017,10,10,14.6,20.5
2017,11,5.8,9.1,13.1
2017,12,0.3,3.9,8.5
2018,1,2.4,5.8,10
2018,2,1.7,4.5,7.6
2018,3,3.9,7.4,11.3
2018,4,10.1,15.5,21.2
2018,5,14.8,19.6,25
2018,6,17.5,23.1,28.7
2018,7,19.6,24.9,30.7
2018,8,20,25.3,31.2
2018,9,16.7,21.3,27
2018,10,12.2,16.6,21.4
2018,11,8.9,11.6,14.5
2018,12,1.1,4,7.2
2019,1,-0.8,3.1,7.7
2019,2,1.4,6.5,13.3
2019,3,4,9.7,15.7
2019,4,8.4,13,17.6
2019,5,11.9,15.4,19.5
2019,6,18.7,24.4,30.3
2019,7,19.7,25.2,30.7
2019,8,20.4,25.2,30.6
2019,9,15.4,20,25.5
2019,10,12.6,16.7,21.6
2019,11,8.2,11.7,15
2019,12,2.8,6.6,10.8
2020,1,0.8,4.2,9
2020,2,2.6,7.7,13.5
2020,3,4.7,9.5,14.4
2020,4,7.5,14,20.7
2020,5,12.9,18.5,23.6
2020,6,16.6,21.8,27.4
2020,7,18.4,24.2,29.8
2020,8,19.7,24.9,30.6
2020,9,15.3,20.5,26.3
2020,10,9.5,13.9,18.9
2020,11,6.3,9.6,13.7
2020,12,4,6.9,10
2021,1,0,3.7,7.8
2021,2,3.3,7.3,12
2021,3,2.4,8.6,14.7
2021,4,6.2,11.5,16.7
2021,5,11.6,16.8,21.8
2021,6,17.7,24,29.9
2021,7,19.1,24.7,30.3
2021,8,17.3,23.7,29.7
2021,9,14.9,20.3,26.4
2021,10,9.4,14,19.3
2021,11,7.2,10.5,14.4
2021,12,1.7,4.7,8.2
2022,1,-0.1,3.7,8.4
2022,2,0.7,6.1,12.1
2022,3,1.7,7.9,13.9
2022,4,6.6,12.1,17.6
2022,5,14.6,19.9,25.5
2022,6,18.6,24.5,30.2
2022,7,19.5,26.3,32.7
2022,8,19.4,25,30.9
2022,9,14.8,20,25.6
2022,10,12.6,17.4,24.1
2022,11,7.3,11.5,15.8
2022,12,5.1,7.4,10.1
2023,1,3.9,6.8,10.1
2023,2,1,5.3,11
2023,3,4.7,10.5,16.2
2023,4,7.1,12.5,17.7
2023,5,13.6,17.9,22.4
2023,6,17.7,23.2,28.5
2023,7,20.5,25.8,31.2
2023,8,19.3,24.9,30.7
2023,9,16.8,22,28
2023,10,13.2,17.9,23.6
2023,11,4.9,9.2,14.4
2023,12,2.6,6,10.4
